Rk,Player,Season,School,Pos,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
53,RJ White\rj-white-1,2016-17,North Carolina-Greensboro,C,35,35,889,181,329,.550,165,278,.594,16,51,.314,73,120,.608,74,159,233,43,30,39,70,114,451,9.9
54,Alan Williams\alan-williams-2,2014-15,UC-Santa Barbara,C,26,26,847,160,349,.458,160,346,.462,0,3,.000,129,168,.768,86,222,308,45,31,47,51,70,449,15.2
55,Mamadou Ndiaye\mamadou-ndiaye-2,2015-16,UC-Irvine,C,37,36,857,169,251,.673,169,251,.673,0,0,,111,176,.631,74,193,267,24,6,87,83,92,449,10.5
56,Omer Yurtseven\omer-yurtseven-1,2017-18,North Carolina State,C,33,22,786,187,327,.572,165,283,.583,22,44,.500,49,80,.613,91,131,222,15,16,60,38,99,445,11.3
57,Adam Smith\adam-smith-1,2014-15,Virginia Tech,C,33,21,986,158,361,.438,77,170,.453,81,191,.424,46,62,.742,14,71,85,30,12,4,26,54,443,8.1
58,Chris Anderson\chris-anderson-2,2013-14,Louisiana Tech,C,37,36,874,160,367,.436,128,261,.490,32,106,.302,90,138,.652,81,127,208,36,42,12,70,122,442,7.6
59,Isaac Haas\isaac-haas-1,2016-17,Purdue,C,35,15,682,159,271,.587,159,271,.587,0,0,,123,173,.711,62,112,174,20,9,27,78,73,441,8.8
60,Wyatt Walker\wyatt-walker-1,2016-17,Samford,C,34,34,991,157,268,.586,155,262,.592,2,6,.333,124,163,.761,99,230,329,51,21,29,67,88,440,12.1
61,Tyler Davis\tyler-davis-5,2016-17,Texas A&M,C,31,31,812,167,270,.619,167,269,.621,0,1,.000,106,153,.693,95,121,216,44,15,30,83,82,440,11.4
62,Corey Petros\corey-petros-1,2013-14,Oakland,C,33,33,1171,182,316,.576,182,316,.576,0,0,,74,145,.510,102,170,272,50,16,14,48,72,438,11.1
63,Diamond Stone\diamond-stone-1,2015-16,Maryland,C,35,22,807,167,294,.568,167,294,.568,0,0,,102,134,.761,77,111,188,15,18,55,53,80,436,10.1
64,Joseph Uchebo\joseph-uchebo-1,2015-16,Charlotte,C,33,28,922,181,310,.584,181,310,.584,0,0,,72,130,.554,126,254,380,31,33,22,44,59,434,13.1
65,Moses Kingsley\moses-kingsley-1,2016-17,Arkansas,C,36,36,999,149,319,.467,142,303,.469,7,16,.438,128,169,.757,79,199,278,48,23,93,70,99,433,10.6
66,Aly Ahmed\aly-ahmed-1,2014-15,Cal State Bakersfield,C,31,28,914,159,323,.492,158,318,.497,1,5,.200,113,154,.734,70,153,223,48,9,23,72,80,432,9.8
67,Quadir Welton\quadir-welton-1,2016-17,Saint Peter's,C,36,35,1032,155,330,.470,155,330,.470,0,0,,121,207,.585,76,218,294,74,28,35,92,85,431,9.0
68,Aly Ahmed\aly-ahmed-1,2015-16,Cal State Bakersfield,C,33,33,930,169,360,.469,167,356,.469,2,4,.500,90,133,.677,58,148,206,34,22,36,81,93,430,8.1
69,Patric Young\patric-young-1,2013-14,Florida,C,39,37,1019,171,316,.541,171,316,.541,0,0,,87,146,.596,101,140,241,30,25,41,49,101,429,9.0
70,Isaiah Austin\isaiah-austin-1,2013-14,Baylor,C,38,37,1065,157,350,.449,139,285,.488,18,65,.277,95,140,.679,81,128,209,52,17,118,70,92,427,9.2
71,Jalone Friday\jalone-friday-1,2017-18,Abilene Christian,C,32,28,714,161,353,.456,115,218,.528,46,135,.341,59,84,.702,38,124,162,16,10,50,53,112,427,8.0
72,Thomas Bryant\thomas-bryant-1,2016-17,Indiana,C,34,34,954,148,285,.519,125,225,.556,23,60,.383,108,148,.730,76,150,226,50,26,52,78,104,427,10.2
73,Dusan Ristic\dusan-ristic-1,2017-18,Arizona,C,35,35,949,178,313,.569,172,298,.577,6,15,.400,64,81,.790,72,171,243,32,13,18,47,83,426,9.7
74,Tyrell Nelson\tyrell-nelson-1,2016-17,Gardner-Webb,C,33,33,896,164,311,.527,156,292,.534,8,19,.421,89,142,.627,64,168,232,42,23,17,68,99,425,9.2
75,Egidijus Mockevicius\egidijus-mockevicius-1,2014-15,Evansville,C,34,34,948,154,266,.579,154,266,.579,0,0,,117,142,.824,75,262,337,17,21,74,48,99,425,12.3
76,Alex Kirk\alex-kirk-2,2013-14,New Mexico,C,32,32,1025,165,337,.490,153,281,.544,12,56,.214,82,123,.667,73,204,277,35,12,85,57,82,424,11.1
77,John Karhoff\john-karhoff-1,2013-14,Omaha,C,32,32,831,157,319,.492,153,301,.508,4,18,.222,103,125,.824,44,83,127,60,18,17,46,106,421,9.1
78,Dwight Coleby\dwight-coleby-1,2017-18,Western Kentucky,C,38,37,1050,162,271,.598,162,270,.600,0,1,.000,96,128,.750,96,209,305,22,23,66,61,103,420,10.4
79,Garrick Sherman\garrick-sherman-1,2013-14,Notre Dame,C,31,31,888,173,342,.506,173,342,.506,0,0,,73,106,.689,83,142,225,28,24,21,82,88,419,8.9
80,Tim Kempton\tim-kempton-2,2013-14,Lehigh,C,32,31,844,159,309,.515,159,309,.515,0,0,,99,146,.678,74,152,226,23,22,11,90,104,417,8.0
81,Thomas van der Mars\thomas-van-der-mars-1,2013-14,Portland,C,31,30,834,165,274,.602,165,274,.602,0,0,,87,123,.707,76,147,223,28,20,23,44,73,417,11.5
82,Thomas Welsh\thomas-welsh-1,2017-18,UCLA,C,33,33,1096,162,334,.485,117,222,.527,45,112,.402,48,58,.828,87,271,358,46,22,29,34,79,417,12.0
83,Przemek Karnowski\przemek-karnowski-1,2014-15,Gonzaga,C,38,37,932,179,288,.622,178,287,.620,1,1,1.000,57,112,.509,70,150,220,51,20,39,68,85,416,8.9
84,Thomas Bryant\thomas-bryant-1,2015-16,Indiana,C,35,35,791,157,230,.683,152,215,.707,5,15,.333,96,136,.706,70,132,202,34,17,32,58,99,415,10.1
85,Ethan Jacobs\ethan-jacobs-1,2014-15,Colgate,C,33,33,921,159,322,.494,119,205,.580,40,117,.342,56,74,.757,32,117,149,35,11,37,52,88,414,8.4
