Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
81,2016-17,SAS*,NBA,82,61,21,.744,19805,3222,6864,2469,4937,753,1927,1440,1806,821,2777,3598,1954,655,484,1101,1498,8637,7.20,-0.06,7.13,94.2,111.1,103.5,.524,12.6,24.0,0.210,.492,13.5,22.4,0.192
82,1962-63,BOS*,NBA,80,58,22,.725,,3746,8779,3746,8779,,,2012,2777,,,5818,1960,,,,2090,9504,7.18,-0.80,6.38,,,,.427,,,0.229,,,,
83,1974-75,WSB*,NBA,82,60,22,.732,19805,3555,7697,3555,7697,,,1475,1962,1133,2764,3897,2005,929,409,1594,1961,8585,7.17,-0.64,6.53,106.1,98.0,91.3,.462,15.7,28.7,0.192,.438,18.2,30.0,0.202
84,2011-12,SAS*,NBA,66,50,16,.758,15940,2611,5463,2059,4058,552,1405,1067,1427,683,2153,2836,1528,490,293,895,1143,6841,7.17,0.11,7.28,92.9,110.9,103.2,.528,12.8,25.1,0.195,.489,12.9,24.0,0.168
85,1997-98,SEA*,NBA,82,61,21,.744,19755,3052,6458,2431,4889,621,1569,1521,2109,931,2225,3156,1986,804,376,1145,1812,8246,7.17,-0.84,6.33,89.8,111.6,103.6,.521,13.4,28.7,0.236,.478,15.9,33.9,0.223
86,1988-89,LAL*,NBA,82,57,25,.695,19805,3584,7143,3357,6476,227,667,2011,2508,1094,2612,3706,2282,724,421,1344,1672,9406,7.17,-0.79,6.38,100.1,113.8,106.7,.518,14.0,33.0,0.282,.482,13.0,31.1,0.205
87,2019-20,MIA,NBA,12,9,3,.750,2905,481,1004,333,619,148,385,224,300,100,433,533,315,119,65,226,265,1334,7.17,0.13,7.30,102.2,107.8,100.9,.553,16.6,20.8,0.223,.502,16.0,20.6,0.210
88,2001-02,LAL*,NBA,82,58,24,.707,19780,3150,6840,2640,5401,510,1439,1494,2138,1022,2607,3629,1882,625,478,1040,1823,8304,7.12,0.03,7.15,92.1,109.4,101.7,.498,11.8,28.8,0.218,.453,13.0,28.0,0.233
89,2004-05,PHO*,NBA,82,62,20,.756,19780,3351,7018,2555,4992,796,2026,1556,2080,967,2652,3619,1927,572,453,1125,1563,9054,7.12,-0.04,7.08,95.9,114.5,107.1,.534,12.4,27.5,0.222,.478,12.0,31.7,0.176
90,1997-98,CHI*,NBA,82,62,20,.756,19855,3064,6801,2753,5839,311,962,1492,2009,1243,2438,3681,1952,696,353,1178,1691,7931,7.11,0.13,7.24,89.0,107.7,99.8,.473,13.3,35.7,0.219,.457,14.7,29.4,0.220
91,1989-90,PHO*,NBA,82,54,28,.659,19855,3544,7139,3368,6596,176,543,2159,2716,1053,2651,3704,2109,668,501,1275,1825,9423,7.10,-0.01,7.09,100.7,113.1,106.2,.509,13.3,31.1,0.302,.478,12.8,31.2,0.209
92,2019-20,PHO,NBA,11,7,4,.636,2665,461,970,311,583,150,387,222,276,81,383,464,317,82,43,171,275,1294,7.09,0.84,7.93,104.4,111.6,104.9,.553,13.5,17.3,0.229,.516,15.4,20.4,0.244
93,1992-93,SEA*,NBA,82,55,27,.671,19780,3473,7140,3255,6530,218,610,1720,2259,1222,2254,3476,1906,944,409,1267,1971,8884,7.07,-0.42,6.66,96.0,112.3,104.9,.502,13.5,35.5,0.241,.489,16.4,32.3,0.260
94,1994-95,ORL*,NBA,82,57,25,.695,19930,3460,6899,2937,5487,523,1412,1648,2465,1149,2457,3606,2281,672,488,1297,1726,9091,7.06,-0.62,6.44,95.1,115.1,107.8,.539,14.0,34.0,0.239,.490,13.3,31.6,0.220
95,1993-94,NYK*,NBA,82,57,25,.695,19755,3098,6735,2782,5827,316,908,1564,2097,1175,2542,3717,2067,752,385,1360,2001,8076,6.99,-0.50,6.48,92.8,105.7,98.2,.483,15.1,34.4,0.232,.451,16.0,28.6,0.261
96,2013-14,LAC*,NBA,82,57,25,.695,19755,3208,6761,2515,4795,693,1966,1741,2384,858,2668,3526,2016,703,397,1136,1767,8850,6.98,0.30,7.27,95.9,112.1,104.8,.526,12.7,25.0,0.258,.484,13.8,27.5,0.222
97,2007-08,UTA*,NBA,82,54,28,.659,19705,3279,6592,2872,5497,407,1095,1745,2298,942,2410,3352,2165,717,355,1200,1970,8710,6.88,-0.01,6.86,93.2,113.8,106.5,.528,13.6,29.5,0.265,.501,15.0,25.9,0.294
98,1984-85,MIL*,NBA,82,59,23,.720,19805,3564,7256,3475,6962,89,294,1873,2473,1256,2353,3609,2164,689,486,1382,2239,9090,6.85,-0.16,6.69,99.7,110.5,103.6,.497,14.2,35.4,0.258,.467,16.1,34.4,0.290
99,2005-06,SAS*,NBA,82,63,19,.768,19805,2993,6342,2469,4980,524,1362,1327,1891,851,2548,3399,1717,543,467,1126,1714,7837,6.82,-0.13,6.69,88.5,107.3,99.6,.513,13.6,26.0,0.209,.457,13.5,25.8,0.220
100,1972-73,NYK*,NBA,82,57,25,.695,19730,3627,7764,3627,7764,,,1356,1739,,,3882,2187,,,,1775,8610,6.79,-0.72,6.07,,,,.467,,,0.175,.435,,,0.195
101,1989-90,LAL*,NBA,82,63,19,.768,19855,3434,7010,3125,6169,309,841,1902,2417,1097,2460,3557,2232,655,445,1226,1737,9079,6.78,-0.04,6.74,96.3,114.0,107.0,.512,13.2,32.8,0.271,.479,12.8,31.5,0.219
102,1990-91,LAL*,NBA,82,58,24,.707,19830,3343,6911,3117,6167,226,744,1805,2261,1078,2440,3518,2091,642,384,1203,1524,8717,6.74,-0.01,6.73,94.1,112.1,105.0,.500,13.2,33.0,0.261,.474,12.8,31.7,0.176
103,2008-09,ORL*,NBA,82,59,23,.720,19730,2929,6416,2112,4269,817,2147,1611,2253,819,2728,3547,1593,570,439,1142,1664,8286,6.70,-0.21,6.48,92.3,109.2,101.9,.520,13.4,24.0,0.251,.465,12.3,24.1,0.209
104,2005-06,DET*,NBA,82,64,18,.780,19830,2983,6558,2426,5107,557,1451,1418,1950,975,2347,3322,1971,580,490,931,1513,7941,6.67,-0.44,6.24,86.8,110.8,103.1,.497,11.2,28.9,0.216,.477,13.7,28.8,0.191
105,1992-93,PHO*,NBA,82,62,20,.756,19730,3494,7093,3096,5998,398,1095,1912,2539,1141,2510,3651,2087,752,455,1359,1739,9298,6.66,-0.39,6.27,99.8,113.3,106.7,.521,14.2,33.0,0.270,.496,13.9,30.8,0.206
106,1986-87,BOS*,NBA,82,59,23,.720,19805,3645,7051,3438,6486,207,565,1740,2153,933,2585,3518,2421,561,526,1300,1710,9237,6.65,-0.08,6.57,98.6,113.5,106.8,.532,14.0,29.0,0.247,.471,12.0,32.4,0.217
107,1984-85,BOS*,NBA,82,63,19,.768,19705,3721,7325,3611,7016,110,309,1860,2307,1116,2630,3746,2287,645,414,1332,1781,9412,6.65,-0.18,6.47,101.6,112.8,106.3,.515,13.8,32.8,0.254,.481,12.6,29.6,0.198
108,1975-76,GSW*,NBA,82,59,23,.720,19830,3691,7982,3691,7982,,,1620,2158,1349,2912,4261,2041,928,416,1613,2022,9002,6.65,-0.41,6.23,108.3,100.6,94.5,.462,15.3,33.1,0.203,.444,16.9,30.7,0.204
109,1948-49,ROC*,BAA,60,45,15,.750,,1811,4869,1811,4869,,,1420,2060,,,,1259,,,,1539,5042,6.63,-0.51,6.12,,,,.372,,,0.292,,,,
