Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
887,1982-83,DET,NBA,82,37,45,.451,19880,3623,7602,3551,7330,72,272,1921,2588,1312,2477,3789,2108,679,572,1557,2122,9239
888,1998-99,UTA*,NBA,50,37,13,.740,12175,1684,3620,1544,3232,140,388,1158,1510,555,1508,2063,1204,398,276,814,1133,4666
889,1980-81,DEN,NBA,82,37,45,.451,19955,3784,7960,3754,7815,30,145,2388,3051,1325,2497,3822,2030,720,380,1444,2108,9986
890,2018-19,LAL,NBA,82,37,45,.451,19780,3491,7425,2644,4884,847,2541,1336,1910,835,2985,3820,2096,618,440,1284,1701,9165
891,1983-84,SAS,NBA,82,37,45,.451,19980,3909,7721,3830,7458,79,263,1965,2604,1230,2528,3758,2361,685,491,1447,2146,9862
892,2016-17,DET,NBA,82,37,45,.451,19805,3269,7282,2638,5367,631,1915,1140,1586,908,2838,3746,1732,574,310,973,1467,8309
893,1986-87,DEN*,NBA,82,37,45,.451,19780,3744,7951,3638,7560,106,391,1975,2568,1294,2368,3662,2317,754,421,1216,2184,9569
894,2003-04,SEA,NBA,82,37,45,.451,19805,2939,6590,2216,4654,723,1936,1363,1782,907,2318,3225,1782,661,387,1188,1784,7964
895,1979-80,CLE,NBA,82,37,45,.451,19930,3811,8041,3775,7854,36,187,1702,2205,1307,2381,3688,2108,764,342,1370,1934,9360
896,2004-05,LAC,NBA,82,37,45,.451,20030,2924,6368,2693,5699,231,669,1770,2274,980,2455,3435,1901,599,422,1290,1819,7849
897,1956-57,PHW*,NBA,72,37,35,.514,,2584,6533,2584,6533,,,2062,2658,,,4305,1467,,,,1732,7230
898,1979-80,IND,NBA,82,37,45,.451,19855,3639,7689,3551,7375,88,314,1753,2333,1398,2326,3724,2148,900,530,1517,1973,9119
899,1978-79,NJN*,NBA,82,37,45,.451,19755,3464,7523,3464,7523,,,1904,2613,1241,2370,3611,1907,853,619,1861,2329,8832
900,2002-03,NYK,NBA,82,37,45,.451,19855,2967,6725,2361,5143,606,1582,1320,1620,842,2376,3218,1800,579,255,1149,1888,7860
901,2001-02,WAS,NBA,82,37,45,.451,19730,2938,6664,2633,5878,305,786,1428,1866,1055,2393,3448,1715,570,354,1068,1763,7609
902,1985-86,SAC*,NBA,82,37,45,.451,19780,3538,7220,3508,7086,30,134,1818,2338,1135,2377,3512,2304,602,388,1533,2134,8924
903,1975-76,POR,NBA,82,37,45,.451,19730,3417,7292,3417,7292,,,1699,2350,1116,2843,3959,2094,776,408,1867,2091,8533
904,1968-69,SDR*,NBA,82,37,45,.451,19780,3691,8631,3691,8631,,,2074,3039,,,5026,1925,,,,2110,9456
905,1997-98,DET,NBA,82,37,45,.451,19955,2862,6373,2569,5435,293,938,1704,2288,1044,2338,3382,1597,678,344,1198,1805,7721
906,2009-10,NOH,NBA,82,37,45,.451,19830,3178,6842,2607,5270,571,1572,1293,1661,852,2450,3302,1828,625,300,1103,1606,8220
907,1951-52,NYK*,NBA,66,37,29,.561,,2022,5282,2022,5282,,,1565,2185,,,3834,1567,,,,1770,5609
908,1964-65,BAL*,NBA,80,37,43,.463,19375,3421,7734,3421,7734,,,2245,3144,,,5298,1676,,,,2119,9087
909,1998-99,SAS*,NBA,50,37,13,.740,12075,1740,3812,1568,3291,172,521,988,1415,614,1584,2198,1101,421,351,759,1010,4640
910,1957-58,PHW*,NBA,72,37,35,.514,,2765,7276,2765,7276,,,1977,2596,,,4836,1441,,,,1763,7507
911,2007-08,ATL*,NBA,82,37,45,.451,19855,2975,6552,2591,5474,384,1078,1720,2227,1008,2454,3462,1804,600,448,1223,1673,8054
912,2011-12,ORL*,NBA,66,37,29,.561,15965,2275,5162,1605,3377,670,1785,995,1508,742,2060,2802,1321,451,275,984,1168,6215
913,1955-56,FTW*,NBA,72,37,35,.514,,2396,6174,2396,6174,,,2002,2729,,,3974,1752,,,,1789,6794
914,1983-84,GSW,NBA,82,37,45,.451,19830,3519,7534,3464,7308,55,226,1915,2577,1390,2171,3561,1837,830,348,1518,2108,9008
915,1961-62,DET*,NBA,80,37,43,.463,,3472,8366,3472,8366,,,2290,3142,,,5823,1723,,,,2040,9234
916,2014-15,MIA,NBA,82,37,45,.451,19730,2885,6330,2329,4671,556,1659,1438,1940,747,2461,3208,1626,642,372,1214,1636,7764
917,1989-90,GSW,NBA,82,37,45,.451,19705,3489,7208,3246,6458,243,750,2313,2858,915,2385,3300,1978,756,488,1415,2010,9534
918,2002-03,WAS,NBA,82,37,45,.451,19830,2816,6394,2563,5583,253,811,1617,2077,917,2395,3312,1612,621,390,1095,1644,7502
919,2013-14,NYK,NBA,82,37,45,.451,19855,3027,6739,2268,4701,759,2038,1271,1670,870,2437,3307,1641,631,367,1063,1815,8084
920,2003-04,GSW,NBA,82,37,45,.451,19855,2875,6511,2446,5228,429,1283,1470,2028,1002,2533,3535,1681,576,389,1211,1691,7649
921,2010-11,IND*,NBA,82,37,45,.451,19780,3003,6787,2418,5134,585,1653,1592,2035,914,2657,3571,1611,584,456,1262,1782,8183
922,2010-11,GSW,NBA,82,36,46,.439,19830,3251,7047,2566,5298,685,1749,1290,1695,955,2370,3325,1847,737,406,1198,1806,8477
923,1969-70,SEA,NBA,82,36,46,.439,19780,3709,8029,3709,8029,,,2171,2851,,,4312,2214,,,,2175,9589
924,1973-74,SEA,NBA,82,36,46,.439,19755,3584,8056,3584,8056,,,1606,2095,1323,2706,4029,2106,689,294,1622,2074,8774
925,1997-98,MIL,NBA,82,36,46,.439,19930,2918,6399,2669,5696,249,703,1663,2167,1035,2236,3271,1649,733,357,1383,1915,7748
926,1987-88,PHI,NBA,82,36,46,.439,19905,3214,6785,3062,6314,152,471,2087,2731,1219,2307,3526,1897,672,465,1433,1866,8667
927,1980-81,SDC,NBA,82,36,46,.439,19730,3477,7283,3345,6876,132,407,1651,2246,1169,2144,3313,2098,764,292,1407,2078,8737
928,1970-71,ATL*,NBA,82,36,46,.439,19755,3614,7779,3614,7779,,,2120,2975,,,4472,1906,,,,1958,9348
